=== Running 6 BPF experiments (Cubic Sensor + Stochastic Volatility) ===

========================================
[1/6] hmc/cubic_sensor/bpf_sys
========================================
Creating true model: src.models.cubic_sensor.CubicSensorModel
Generating 50 time steps with true params: {'sigma_V': 1.0, 'sigma_W': 1.0}
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
I0000 00:00:1771739646.544352 2186196 gpu_device.cc:2020] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 22322 MB memory:  -> device: 0, name: NVIDIA GeForce RTX 3090, pci bus id: 0000:01:00.0, compute capability: 8.6
Creating inference model
Trainable params: ['sigma_V', 'sigma_W']

Running HMC inference...
Using HMC sampler (num_leapfrog_steps=5)
Running HMC: 100 burn-in + 200 sampling = 300 total steps
  [grad check] lp=-160.7081, |grad|=9.49333477487508, grad=[-8.8520786  -3.42988478]
  [sample 80/200] 0.8s | accept=92% | step_size=0.0001 | sigma_V=5.0014, sigma_W=1.9487 | ETA 94s
  [sample 81/200] 0.8s | accept=92% | step_size=0.0001 | sigma_V=5.0000, sigma_W=1.9488 | ETA 93s
  [sample 82/200] 0.8s | accept=92% | step_size=0.0001 | sigma_V=5.0013, sigma_W=1.9484 | ETA 92s
  [sample 83/200] 0.8s | accept=94% | step_size=0.0001 | sigma_V=5.0009, sigma_W=1.9477 | ETA 91s
  [sample 84/200] 0.8s | accept=94% | step_size=0.0001 | sigma_V=5.0011, sigma_W=1.9472 | ETA 91s
  [sample 85/200] 0.8s | accept=94% | step_size=0.0001 | sigma_V=5.0013, sigma_W=1.9466 | ETA 90s
  [sample 86/200] 0.8s | accept=94% | step_size=0.0001 | sigma_V=5.0001, sigma_W=1.9472 | ETA 89s
  [sample 87/200] 0.8s | accept=94% | step_size=0.0001 | sigma_V=4.9997, sigma_W=1.9469 | ETA 89s
  [sample 88/200] 0.8s | accept=94% | step_size=0.0001 | sigma_V=4.9995, sigma_W=1.9466 | ETA 88s
  [sample 89/200] 0.8s | accept=94% | step_size=0.0001 | sigma_V=4.9995, sigma_W=1.9466 | ETA 87s
  [sample 90/200] 0.8s | accept=94% | step_size=0.0001 | sigma_V=4.9982, sigma_W=1.9463 | ETA 86s
  [sample 91/200] 0.8s | accept=94% | step_size=0.0001 | sigma_V=4.9985, sigma_W=1.9462 | ETA 85s
